10 0.020000 15078 
20 0.020000 31656 
30 0.020000 43184 
40 0.020000 202246 
50 0.020000 230194 
60 0.020000 134548 
70 0.020000 309506 
80 0.020000 531818 
90 0.020000 304450 
100 0.020000 1133944 
110 0.020000 468758 
120 0.020000 514682 
130 0.020000 1490942 
140 0.020000 221186 
150 0.020000 1366380 
160 0.020000 910796 
170 0.020000 255584 
180 0.020000 4334788 
190 0.020000 1782636 
200 0.020000 394534 
10 0.040000 8368 
20 0.040000 30190 
30 0.040000 57528 
40 0.040000 59948 
50 0.040000 56230 
60 0.040000 131950 
70 0.040000 53254 
80 0.040000 181810 
90 0.040000 522480 
100 0.040000 223792 
110 0.040000 315624 
120 0.040000 217602 
130 0.040000 193758 
140 0.040000 300734 
150 0.040000 437452 
160 0.040000 234426 
170 0.040000 12182 
180 0.040000 216550 
190 0.040000 1758750 
200 0.040000 1308730 
10 0.060000 7818 
20 0.060000 20064 
30 0.060000 41706 
40 0.060000 69882 
50 0.060000 36730 
60 0.060000 186986 
70 0.060000 46922 
80 0.060000 168548 
90 0.060000 137218 
100 0.060000 282552 
110 0.060000 47462 
120 0.060000 218836 
130 0.060000 277390 
140 0.060000 240962 
150 0.060000 398336 
160 0.060000 417442 
170 0.060000 668534 
180 0.060000 757986 
190 0.060000 246706 
200 0.060000 282434 
10 0.080000 7956 
20 0.080000 13204 
30 0.080000 21472 
40 0.080000 41346 
50 0.080000 28226 
60 0.080000 42232 
70 0.080000 73304 
80 0.080000 189164 
90 0.080000 102518 
100 0.080000 241346 
110 0.080000 77416 
120 0.080000 285306 
130 0.080000 120570 
140 0.080000 78304 
150 0.080000 14846 
160 0.080000 182208 
170 0.080000 125262 
180 0.080000 57702 
190 0.080000 47488 
200 0.080000 72158 
10 0.100000 5868 
20 0.100000 7634 
30 0.100000 12200 
40 0.100000 23840 
50 0.100000 43374 
60 0.100000 32202 
70 0.100000 19280 
80 0.100000 144762 
90 0.100000 136088 
100 0.100000 5556 
110 0.100000 331782 
120 0.100000 240148 
130 0.100000 287506 
140 0.100000 299796 
150 0.100000 264996 
160 0.100000 330624 
170 0.100000 263870 
180 0.100000 36760 
190 0.100000 46438 
200 0.100000 288730 
10 0.120000 7072 
20 0.120000 7816 
30 0.120000 5134 
40 0.120000 9110 
50 0.120000 30290 
60 0.120000 3804 
70 0.120000 15624 
80 0.120000 16934 
90 0.120000 50420 
100 0.120000 23974 
110 0.120000 299910 
120 0.120000 48806 
130 0.120000 61938 
140 0.120000 38252 
150 0.120000 288006 
160 0.120000 17790 
170 0.120000 182002 
180 0.120000 4860 
190 0.120000 581620 
200 0.120000 473056 
10 0.140000 7004 
20 0.140000 12462 
30 0.140000 12572 
40 0.140000 19924 
50 0.140000 59468 
60 0.140000 37400 
70 0.140000 31408 
80 0.140000 9808 
90 0.140000 82930 
100 0.140000 87506 
110 0.140000 106438 
120 0.140000 81922 
130 0.140000 200396 
140 0.140000 53064 
150 0.140000 136866 
160 0.140000 329924 
170 0.140000 58308 
180 0.140000 17106 
190 0.140000 5336 
200 0.140000 8854 
10 0.160000 8048 
20 0.160000 10640 
30 0.160000 13584 
40 0.160000 41846 
50 0.160000 47504 
60 0.160000 24992 
70 0.160000 32042 
80 0.160000 14894 
90 0.160000 20514 
100 0.160000 123766 
110 0.160000 59956 
120 0.160000 69938 
130 0.160000 125390 
140 0.160000 137184 
150 0.160000 193966 
160 0.160000 235218 
170 0.160000 101936 
180 0.160000 4812 
190 0.160000 245500 
200 0.160000 241106 
10 0.180000 5932 
20 0.180000 11976 
30 0.180000 2900 
40 0.180000 19856 
50 0.180000 12558 
60 0.180000 7138 
70 0.180000 42758 
80 0.180000 6260 
90 0.180000 30424 
100 0.180000 106280 
110 0.180000 1400 
120 0.180000 16288 
130 0.180000 65640 
140 0.180000 117506 
150 0.180000 83240 
160 0.180000 222592 
170 0.180000 37612 
180 0.180000 67348 
190 0.180000 4602 
200 0.180000 217170 
10 0.200000 4610 
20 0.200000 8942 
30 0.200000 6980 
40 0.200000 11844 
50 0.200000 22156 
60 0.200000 32352 
70 0.200000 36216 
80 0.200000 23376 
90 0.200000 93338 
100 0.200000 7400 
110 0.200000 12756 
120 0.200000 181984 
130 0.200000 40108 
140 0.200000 239254 
150 0.200000 8486 
160 0.200000 58204 
170 0.200000 206682 
180 0.200000 301342 
190 0.200000 35606 
200 0.200000 3558 
10 0.220000 3040 
20 0.220000 6598 
30 0.220000 17864 
40 0.220000 18000 
50 0.220000 17910 
60 0.220000 20756 
70 0.220000 4214 
80 0.220000 10422 
90 0.220000 74512 
100 0.220000 83270 
110 0.220000 91298 
120 0.220000 8756 
130 0.220000 83676 
140 0.220000 10232 
150 0.220000 103674 
160 0.220000 4032 
170 0.220000 37906 
180 0.220000 23546 
190 0.220000 265558 
200 0.220000 310102 
10 0.240000 2492 
20 0.240000 7732 
30 0.240000 7834 
40 0.240000 18796 
50 0.240000 22638 
60 0.240000 32250 
70 0.240000 4098 
80 0.240000 45262 
90 0.240000 34108 
100 0.240000 53880 
110 0.240000 74934 
120 0.240000 54180 
130 0.240000 22664 
140 0.240000 5820 
150 0.240000 59660 
160 0.240000 5650 
170 0.240000 15866 
180 0.240000 51314 
190 0.240000 40044 
200 0.240000 194372 
10 0.260000 2880 
20 0.260000 8340 
30 0.260000 16918 
40 0.260000 3088 
50 0.260000 12138 
60 0.260000 19144 
70 0.260000 5048 
80 0.260000 23848 
90 0.260000 39988 
100 0.260000 12780 
110 0.260000 27534 
120 0.260000 367348 
130 0.260000 13468 
140 0.260000 27948 
150 0.260000 4878 
160 0.260000 26124 
170 0.260000 111054 
180 0.260000 35720 
190 0.260000 9964 
200 0.260000 48060 
10 0.280000 5362 
20 0.280000 7864 
30 0.280000 4052 
40 0.280000 4954 
50 0.280000 17520 
60 0.280000 36656 
70 0.280000 49746 
80 0.280000 48990 
90 0.280000 30120 
100 0.280000 8760 
110 0.280000 2600 
120 0.280000 92844 
